TradeDate,ResourceName,StartTime,EndTime,MeteredFlow,FlowVariance,ResidualCapacity
"2023-11-30","I_ROIEWIC","2023-11-30T03:00:00","2023-11-30T03:29:59",-1.26,-1.26,515
"2023-11-30","I_NIMOYLE","2023-11-30T04:00:00","2023-11-30T04:30:00",112.5,-36,203
"2023-11-30","I_ROIEWIC","2023-11-30T04:00:00","2023-11-30T04:29:59",-1.26,-1.76,514
"2023-11-30","I_NIMOYLE","2023-11-30T05:00:00","2023-11-30T05:30:00",-3.8,-3.8,500
"2023-11-30","I_ROIEWIC","2023-11-30T05:00:00","2023-11-30T05:29:59",-38.2,-38.2,515
"2023-11-30","I_NIMOYLE","2023-11-30T06:00:00","2023-11-30T06:30:00",-125.1,-213.6,323
"2023-11-30","I_ROIEWIC","2023-11-30T06:00:00","2023-11-30T06:29:59",-175.48,-312.98,240
"2023-11-30","I_NIMOYLE","2023-11-30T07:00:00","2023-11-30T07:30:00",-199.3,-399.3,100
"2023-11-30","I_ROIEWIC","2023-11-30T07:00:00","2023-11-30T07:29:59",-251.03,-501.03,15
"2023-11-30","I_NIMOYLE","2023-11-30T08:00:00","2023-11-30T08:30:00",-151,-302.5,197
"2023-11-30","I_ROIEWIC","2023-11-30T08:00:00","2023-11-30T08:29:59",-250.44,-500.44,15
"2023-11-30","I_NIMOYLE","2023-11-30T09:00:00","2023-11-30T09:30:00",-108.1,-216.6,283
"2023-11-30","I_ROIEWIC","2023-11-30T09:00:00","2023-11-30T09:29:59",-250.92,-500.92,15
"2023-11-30","I_NIMOYLE","2023-11-30T10:00:00","2023-11-30T10:30:00",-104.6,-209.6,290
"2023-11-30","I_ROIEWIC","2023-11-30T10:00:00","2023-11-30T10:29:59",-250.68,-500.68,15
"2023-11-30","I_NIMOYLE","2023-11-30T11:00:00","2023-11-30T11:30:00",-88.6,-177.6,322
"2023-11-30","I_ROIEWIC","2023-11-30T11:00:00","2023-11-30T11:29:59",-224.33,-474.33,15
"2023-11-30","I_NIMOYLE","2023-11-30T12:00:00","2023-11-30T12:30:00",-85.6,-174.6,322
"2023-11-30","I_ROIEWIC","2023-11-30T12:00:00","2023-11-30T12:29:59",-176.53,-377.03,114
"2023-11-30","I_NIMOYLE","2023-11-30T13:00:00","2023-11-30T13:30:00",-74.7,-149.7,350
"2023-11-30","I_ROIEWIC","2023-11-30T13:00:00","2023-11-30T13:29:59",-174.53,-346.03,172
"2023-11-30","I_NIMOYLE","2023-11-30T14:00:00","2023-11-30T14:30:00",-74.7,-149.7,350
"2023-11-30","I_ROIEWIC","2023-11-30T14:00:00","2023-11-30T14:29:59",-140.56,-278.56,239
"2023-11-30","I_NIMOYLE","2023-11-30T15:00:00","2023-11-30T15:30:00",-47.5,-113.5,368
"2023-11-30","I_ROIEWIC","2023-11-30T15:00:00","2023-11-30T15:29:59",-44.55,-105.05,394
"2023-11-30","I_NIMOYLE","2023-11-30T16:00:00","2023-11-30T16:30:00",31.6,31.6,500
"2023-11-30","I_ROIEWIC","2023-11-30T16:00:00","2023-11-30T16:29:59",-165.31,-303.81,238
"2023-11-30","I_NIMOYLE","2023-11-30T17:00:00","2023-11-30T17:30:00",87.4,27.4,380
"2023-11-30","I_ROIEWIC","2023-11-30T17:00:00","2023-11-30T17:29:59",-46.69,-126.19,356
"2023-11-30","I_NIMOYLE","2023-11-30T18:00:00","2023-11-30T18:30:00",134.6,31.6,294
"2023-11-30","I_ROIEWIC","2023-11-30T18:00:00","2023-11-30T18:29:59",15.23,15.23,515
"2023-11-30","I_NIMOYLE","2023-11-30T19:00:00","2023-11-30T19:30:00",145.5,24,257
"2023-11-30","I_ROIEWIC","2023-11-30T19:00:00","2023-11-30T19:29:59",-1.27,-1.27,515
"2023-11-30","I_NIMOYLE","2023-11-30T20:00:00","2023-11-30T20:30:00",172.4,24.4,204
"2023-11-30","I_ROIEWIC","2023-11-30T20:00:00","2023-11-30T20:29:59",9.56,9.56,515
"2023-11-30","I_NIMOYLE","2023-11-30T21:00:00","2023-11-30T21:30:00",167.3,-19.2,127
"2023-11-30","I_ROIEWIC","2023-11-30T21:00:00","2023-11-30T21:29:59",38.67,-9.3295,419.001
"2023-11-30","I_ROIEWIC","2023-11-30T22:00:00","2023-11-30T22:29:59",149.25,15.75,248
"2023-12-01","I_ROIEWIC","2023-11-30T23:00:00","2023-11-30T23:29:59",184.9,-39.1,67
"2023-12-01","I_ROIEWIC","2023-12-01T00:00:00","2023-12-01T00:29:59",212.1,7.1,105
"2023-12-01","I_ROIEWIC","2023-12-01T01:00:00","2023-12-01T01:29:59",211.31,25.81,144
"2023-12-01","I_ROIEWIC","2023-12-01T02:00:00","2023-12-01T02:29:59",222.76,-2.74,64
"2023-12-01","I_ROIEWIC","2023-12-01T03:00:00","2023-12-01T03:29:59",164.62,32.62,251
"2023-12-01","I_ROIEWIC","2023-12-01T04:00:00","2023-12-01T04:29:59",162.33,-15.17,160
"2023-12-01","I_NIMOYLE","2023-12-01T05:00:00","2023-12-01T05:30:00",147.3,-37.7,130
"2023-12-01","I_ROIEWIC","2023-12-01T05:00:00","2023-12-01T05:29:59",90.19,-37.81,259
