StartTime,EndTime,ImbalanceVolume,ImbalancePrice,ImbalanceCost
"2023-11-25T02:00:00","2023-11-25T02:30:00",-3.462,120.16,-415.99392
"2023-11-25T02:30:00","2023-11-25T03:00:00",-8.586,113.47,-974.25342
"2023-11-25T03:00:00","2023-11-25T03:30:00",-8.812,110.02,-969.49624
"2023-11-25T03:30:00","2023-11-25T04:00:00",-8.242,109.35,-901.2627
"2023-11-25T04:00:00","2023-11-25T04:30:00",1.92,155.88,299.2896
"2023-11-25T04:30:00","2023-11-25T05:00:00",2.618,155.88,408.09384
"2023-11-25T05:00:00","2023-11-25T05:30:00",2.319,164.21,380.80299
"2023-11-25T05:30:00","2023-11-25T06:00:00",-1.158,149.01,-172.55358
"2023-11-25T06:00:00","2023-11-25T06:30:00",-14.912,115.31,-1719.50272
"2023-11-25T06:30:00","2023-11-25T07:00:00",-11.961,118.36,-1415.70396
"2023-11-25T07:00:00","2023-11-25T07:30:00",-8.692,119.22,-1036.26024
"2023-11-25T07:30:00","2023-11-25T08:00:00",-3.197,124.15,-396.90755
"2023-11-25T08:00:00","2023-11-25T08:30:00",-2.217,122.38,-271.31646
"2023-11-25T08:30:00","2023-11-25T09:00:00",9.605,157.69,1514.61245
"2023-11-25T09:00:00","2023-11-25T09:30:00",12.3,163.05,2005.515
"2023-11-25T09:30:00","2023-11-25T10:00:00",18.298,175.37,3208.92026
"2023-11-25T10:00:00","2023-11-25T10:30:00",21.966,174.75,3838.5585
"2023-11-25T10:30:00","2023-11-25T11:00:00",22.205,176.46,3918.2943
"2023-11-25T11:00:00","2023-11-25T11:30:00",24.018,179.18,4303.54524
"2023-11-25T11:30:00","2023-11-25T12:00:00",19.925,175.19,3490.66075
"2023-11-25T12:00:00","2023-11-25T12:30:00",25.332,202.93,5140.62276
"2023-11-25T12:30:00","2023-11-25T13:00:00",28.021,181.17,5076.56457
"2023-11-25T13:00:00","2023-11-25T13:30:00",11.476,159.68,1832.48768
"2023-11-25T13:30:00","2023-11-25T14:00:00",8.155,154.67,1261.33385
"2023-11-25T14:00:00","2023-11-25T14:30:00",7.926,155.17,1229.87742
"2023-11-25T14:30:00","2023-11-25T15:00:00",10.673,155.54,1660.07842
"2023-11-25T15:00:00","2023-11-25T15:30:00",14.576,155.54,2267.15104
"2023-11-25T15:30:00","2023-11-25T16:00:00",17.807,155.21,2763.82447
"2023-11-25T16:00:00","2023-11-25T16:30:00",19.204,168.9,3243.5556
"2023-11-25T16:30:00","2023-11-25T17:00:00",30.917,241.02,7451.61534
"2023-11-25T17:00:00","2023-11-25T17:30:00",36.622,158.2,5793.6004
"2023-11-25T17:30:00","2023-11-25T18:00:00",33.344,154.28,5144.31232
"2023-11-25T18:00:00","2023-11-25T18:30:00",25.373,154.27,3914.29271
"2023-11-25T18:30:00","2023-11-25T19:00:00",9.996,148.85,1487.9046
"2023-11-25T19:00:00","2023-11-25T19:30:00",31.369,156.12,4897.32828
"2023-11-25T19:30:00","2023-11-25T20:00:00",24.625,156.81,3861.44625
"2023-11-25T20:00:00","2023-11-25T20:30:00",16.492,111.97,1846.60924
"2023-11-25T20:30:00","2023-11-25T21:00:00",11.785,86.53,1019.75605
"2023-11-25T21:00:00","2023-11-25T21:30:00",10.629,83.81,890.81649
"2023-11-25T21:30:00","2023-11-25T22:00:00",6.32,83.81,529.6792
"2023-11-25T22:00:00","2023-11-25T22:30:00",11.326,130.32,1476.00432
"2023-11-25T22:30:00","2023-11-25T23:00:00",22.227,106.14,2359.17378
