TradeDate,DeliveryDate,StartTime,EndTime,Forecast
2024-02-14,2024-02-13,2024-02-13T23:15:00,2024-02-13T23:30:00,1593.397
2024-02-14,2024-02-13,2024-02-13T23:30:00,2024-02-13T23:45:00,1590.558
2024-02-14,2024-02-13,2024-02-13T23:45:00,2024-02-14T00:00:00,1587.717
2024-02-14,2024-02-14,2024-02-14T00:00:00,2024-02-14T00:15:00,1584.869
2024-02-14,2024-02-14,2024-02-14T00:15:00,2024-02-14T00:30:00,1593.461
2024-02-14,2024-02-14,2024-02-14T00:30:00,2024-02-14T00:45:00,1602.044
2024-02-14,2024-02-14,2024-02-14T00:45:00,2024-02-14T01:00:00,1610.634
2024-02-14,2024-02-14,2024-02-14T01:00:00,2024-02-14T01:15:00,1688.368
2024-02-14,2024-02-14,2024-02-14T01:15:00,2024-02-14T01:30:00,1680.862
2024-02-14,2024-02-14,2024-02-14T01:30:00,2024-02-14T01:45:00,1673.354
2024-02-14,2024-02-14,2024-02-14T01:45:00,2024-02-14T02:00:00,1665.855
2024-02-14,2024-02-14,2024-02-14T02:00:00,2024-02-14T02:15:00,1658.348
2024-02-14,2024-02-14,2024-02-14T02:15:00,2024-02-14T02:30:00,1663.145
2024-02-14,2024-02-14,2024-02-14T02:30:00,2024-02-14T02:45:00,1667.965
2024-02-14,2024-02-14,2024-02-14T02:45:00,2024-02-14T03:00:00,1672.761
2024-02-14,2024-02-14,2024-02-14T03:00:00,2024-02-14T03:15:00,1677.576
2024-02-14,2024-02-14,2024-02-14T03:15:00,2024-02-14T03:30:00,1690.178
2024-02-14,2024-02-14,2024-02-14T03:30:00,2024-02-14T03:45:00,1702.763
2024-02-14,2024-02-14,2024-02-14T03:45:00,2024-02-14T04:00:00,1715.363
2024-02-14,2024-02-14,2024-02-14T04:00:00,2024-02-14T04:15:00,1727.955
2024-02-14,2024-02-14,2024-02-14T04:15:00,2024-02-14T04:30:00,1755.954
2024-02-14,2024-02-14,2024-02-14T04:30:00,2024-02-14T04:45:00,1783.949
2024-02-14,2024-02-14,2024-02-14T04:45:00,2024-02-14T05:00:00,1811.952
2024-02-14,2024-02-14,2024-02-14T05:00:00,2024-02-14T05:15:00,1839.95
2024-02-14,2024-02-14,2024-02-14T05:15:00,2024-02-14T05:30:00,1853.958
2024-02-14,2024-02-14,2024-02-14T05:30:00,2024-02-14T05:45:00,1867.975
2024-02-14,2024-02-14,2024-02-14T05:45:00,2024-02-14T06:00:00,1881.992
2024-02-14,2024-02-14,2024-02-14T06:00:00,2024-02-14T06:15:00,1896.003
2024-02-14,2024-02-14,2024-02-14T06:15:00,2024-02-14T06:30:00,1918.82
2024-02-14,2024-02-14,2024-02-14T06:30:00,2024-02-14T06:45:00,1941.62
2024-02-14,2024-02-14,2024-02-14T06:45:00,2024-02-14T07:00:00,1964.425
2024-02-14,2024-02-14,2024-02-14T07:00:00,2024-02-14T07:15:00,2079.366
2024-02-14,2024-02-14,2024-02-14T07:15:00,2024-02-14T07:30:00,2090.847
2024-02-14,2024-02-14,2024-02-14T07:30:00,2024-02-14T07:45:00,2102.322
2024-02-14,2024-02-14,2024-02-14T07:45:00,2024-02-14T08:00:00,2113.809
2024-02-14,2024-02-14,2024-02-14T08:00:00,2024-02-14T08:15:00,2124.826
2024-02-14,2024-02-14,2024-02-14T08:15:00,2024-02-14T08:30:00,2125.278
2024-02-14,2024-02-14,2024-02-14T08:30:00,2024-02-14T08:45:00,2125.731
2024-02-14,2024-02-14,2024-02-14T08:45:00,2024-02-14T09:00:00,2126.186
2024-02-14,2024-02-14,2024-02-14T09:00:00,2024-02-14T09:15:00,2126.646
2024-02-14,2024-02-14,2024-02-14T09:15:00,2024-02-14T09:30:00,2117.36
