EffTime,ParticipantName,ResourceName,DispatchInstructionMW,InstructionCode,InstrIssueTime,RampUpRate,RampDownRate
2024-02-14T15:08:00,PT_400030,GU_400221,0.0,SYNC,2024-02-14T15:09:58,0,0
2024-02-14T15:08:00,PT_400030,GU_400221,23.0,MWOF,2024-02-14T15:09:58,0,0
2024-02-14T15:08:00,PT_400030,GU_400211,0.0,SYNC,2024-02-14T15:09:42,0,0
2024-02-14T15:08:00,PT_400030,GU_400211,9.0,MWOF,2024-02-14T15:09:42,0,0
2024-02-14T14:57:00,PT_400116,DSU_403760,1.0,MWOF,2024-02-14T14:57:00,0,0
2024-02-14T14:57:00,PT_400044,GU_400540,230.0,MWOF,2024-02-14T14:55:43,0,0
2024-02-14T14:57:00,PT_400035,GU_400480,230.0,MWOF,2024-02-14T14:55:43,0,0
2024-02-14T14:49:00,PT_400030,GU_400201,22.0,MWOF,2024-02-14T14:47:31,0,0
2024-02-14T14:41:00,PT_400116,DSU_403760,3.0,MWOF,2024-02-14T14:48:17,0,0
2024-02-14T14:40:00,PT_400041,GU_400530,254.0,MWOF,2024-02-14T14:38:53,0,0
2024-02-14T14:31:00,PT_400116,DSU_403760,1.0,MWOF,2024-02-14T14:30:31,0,0
2024-02-14T14:31:00,PT_400041,GU_400530,280.0,MWOF,2024-02-14T14:29:34,0,0
2024-02-14T14:30:00,PT_400198,GU_402030,60.0,MWOF,2024-02-14T14:30:26,0,0
2024-02-14T14:02:00,PT_400198,GU_402030,57.0,MWOF,2024-02-14T14:02:09,0,0
2024-02-14T14:00:00,PT_502514,GU_503960,0.0,MWOF,2024-02-14T13:42:26,0,0
2024-02-14T13:55:23,PT_400021,GU_400600,0.0,WIND,2024-02-14T13:55:23,0,0
2024-02-14T13:55:15,PT_400192,GU_401980,0.0,WIND,2024-02-14T13:55:15,0,0
2024-02-14T13:55:15,PT_400062,GU_404290,0.0,WIND,2024-02-14T13:55:15,0,0
2024-02-14T13:55:13,PT_400202,GU_404500,0.0,WIND,2024-02-14T13:55:13,0,0
2024-02-14T13:55:09,PT_400200,GU_404570,0.0,WIND,2024-02-14T13:55:09,0,0
2024-02-14T13:55:03,PT_400202,GU_404490,0.0,WIND,2024-02-14T13:55:03,0,0
2024-02-14T13:55:03,PT_400062,GU_404200,0.0,WIND,2024-02-14T13:55:03,0,0
2024-02-14T13:55:03,PT_400051,GU_402280,0.0,WIND,2024-02-14T13:55:03,0,0
2024-02-14T13:55:03,PT_400043,GU_400660,0.0,WIND,2024-02-14T13:55:03,0,0
2024-02-14T13:50:00,PT_400030,GU_400202,12.0,MWOF,2024-02-14T13:48:00,0,0
2024-02-14T13:49:00,PT_400030,GU_400200,21.0,MWOF,2024-02-14T13:47:55,0,0
