TradeDate,DeliveryDate,StartTime,EndTime,Forecast
2023-11-22,2023-11-21,2023-11-21T23:15:00,2023-11-21T23:30:00,1895.646
2023-11-22,2023-11-21,2023-11-21T23:30:00,2023-11-21T23:45:00,1927.872
2023-11-22,2023-11-21,2023-11-21T23:45:00,2023-11-22T00:00:00,1960.081
2023-11-22,2023-11-22,2023-11-22T00:00:00,2023-11-22T00:15:00,1992.294
2023-11-22,2023-11-22,2023-11-22T00:15:00,2023-11-22T00:30:00,2002.28
2023-11-22,2023-11-22,2023-11-22T00:30:00,2023-11-22T00:45:00,2012.267
2023-11-22,2023-11-22,2023-11-22T00:45:00,2023-11-22T01:00:00,2022.247
2023-11-22,2023-11-22,2023-11-22T01:00:00,2023-11-22T01:15:00,2133.226
2023-11-22,2023-11-22,2023-11-22T01:15:00,2023-11-22T01:30:00,2162.497
2023-11-22,2023-11-22,2023-11-22T01:30:00,2023-11-22T01:45:00,2191.764
2023-11-22,2023-11-22,2023-11-22T01:45:00,2023-11-22T02:00:00,2221.03
2023-11-22,2023-11-22,2023-11-22T02:00:00,2023-11-22T02:15:00,2250.301
2023-11-22,2023-11-22,2023-11-22T02:15:00,2023-11-22T02:30:00,2283.571
2023-11-22,2023-11-22,2023-11-22T02:30:00,2023-11-22T02:45:00,2316.848
2023-11-22,2023-11-22,2023-11-22T02:45:00,2023-11-22T03:00:00,2350.123
2023-11-22,2023-11-22,2023-11-22T03:00:00,2023-11-22T03:15:00,2383.397
2023-11-22,2023-11-22,2023-11-22T03:15:00,2023-11-22T03:30:00,2424.845
2023-11-22,2023-11-22,2023-11-22T03:30:00,2023-11-22T03:45:00,2466.275
2023-11-22,2023-11-22,2023-11-22T03:45:00,2023-11-22T04:00:00,2507.727
2023-11-22,2023-11-22,2023-11-22T04:00:00,2023-11-22T04:15:00,2549.156
2023-11-22,2023-11-22,2023-11-22T04:15:00,2023-11-22T04:30:00,2597.216
2023-11-22,2023-11-22,2023-11-22T04:30:00,2023-11-22T04:45:00,2645.263
2023-11-22,2023-11-22,2023-11-22T04:45:00,2023-11-22T05:00:00,2693.304
2023-11-22,2023-11-22,2023-11-22T05:00:00,2023-11-22T05:15:00,2741.371
2023-11-22,2023-11-22,2023-11-22T05:15:00,2023-11-22T05:30:00,2719.286
2023-11-22,2023-11-22,2023-11-22T05:30:00,2023-11-22T05:45:00,2697.195
2023-11-22,2023-11-22,2023-11-22T05:45:00,2023-11-22T06:00:00,2675.123
2023-11-22,2023-11-22,2023-11-22T06:00:00,2023-11-22T06:15:00,2653.051
2023-11-22,2023-11-22,2023-11-22T06:15:00,2023-11-22T06:30:00,2614.37
2023-11-22,2023-11-22,2023-11-22T06:30:00,2023-11-22T06:45:00,2575.692
2023-11-22,2023-11-22,2023-11-22T06:45:00,2023-11-22T07:00:00,2537.016
2023-11-22,2023-11-22,2023-11-22T07:00:00,2023-11-22T07:15:00,2620.922
2023-11-22,2023-11-22,2023-11-22T07:15:00,2023-11-22T07:30:00,2603.137
2023-11-22,2023-11-22,2023-11-22T07:30:00,2023-11-22T07:45:00,2585.321
2023-11-22,2023-11-22,2023-11-22T07:45:00,2023-11-22T08:00:00,2567.537
2023-11-22,2023-11-22,2023-11-22T08:00:00,2023-11-22T08:15:00,2549.737
2023-11-22,2023-11-22,2023-11-22T08:15:00,2023-11-22T08:30:00,2567.345
2023-11-22,2023-11-22,2023-11-22T08:30:00,2023-11-22T08:45:00,2584.933
2023-11-22,2023-11-22,2023-11-22T08:45:00,2023-11-22T09:00:00,2602.55
2023-11-22,2023-11-22,2023-11-22T09:00:00,2023-11-22T09:15:00,2620.153
2023-11-22,2023-11-22,2023-11-22T09:15:00,2023-11-22T09:30:00,2665.079
2023-11-22,2023-11-22,2023-11-22T09:30:00,2023-11-22T09:45:00,2709.993
2023-11-22,2023-11-22,2023-11-22T09:45:00,2023-11-22T10:00:00,2754.911
2023-11-22,2023-11-22,2023-11-22T10:00:00,2023-11-22T10:15:00,2799.828
2023-11-22,2023-11-22,2023-11-22T10:15:00,2023-11-22T10:30:00,2824.545
2023-11-22,2023-11-22,2023-11-22T10:30:00,2023-11-22T10:45:00,2849.274
2023-11-22,2023-11-22,2023-11-22T10:45:00,2023-11-22T11:00:00,2873.99
2023-11-22,2023-11-22,2023-11-22T11:00:00,2023-11-22T11:15:00,2898.705
2023-11-22,2023-11-22,2023-11-22T11:15:00,2023-11-22T11:30:00,2861.042
2023-11-22,2023-11-22,2023-11-22T11:30:00,2023-11-22T11:45:00,2823.382
2023-11-22,2023-11-22,2023-11-22T11:45:00,2023-11-22T12:00:00,2785.715
2023-11-22,2023-11-22,2023-11-22T12:00:00,2023-11-22T12:15:00,2748.053
2023-11-22,2023-11-22,2023-11-22T12:15:00,2023-11-22T12:30:00,2733.114
2023-11-22,2023-11-22,2023-11-22T12:30:00,2023-11-22T12:45:00,2718.197
2023-11-22,2023-11-22,2023-11-22T12:45:00,2023-11-22T13:00:00,2703.262
2023-11-22,2023-11-22,2023-11-22T13:00:00,2023-11-22T13:15:00,2862.681
